Genus,species,Family,Milne,Kimbe,Bootless,Madang,Bismark Sea,Museum Bootless,Total Areas,Fished,length (cm)
Acanthurus,auranticavus,Acanthuridae,0,1,1,0,0,0,2,fished,45
Acanthurus,bariene,Acanthuridae,1,0,0,1,1,0,3,fished,50
Acanthurus,blochi,Acanthuridae,1,1,0,0,1,0,3,fished,45
Acanthurus,dussumieri,Acanthuridae,1,1,0,0,0,0,2,fished,54
Acanthurus,fowleri,Acanthuridae,1,1,1,1,1,0,5,fished,45
Acanthurus,grammoptilus,Acanthuridae,0,0,1,0,0,0,1,fished,35
Acanthurus,guttatus,Acanthuridae,0,0,0,0,1,0,1,fished,26
Acanthurus,leucocheilus,Acanthuridae,1,1,1,0,1,0,4,fished,45
Acanthurus,lineatus,Acanthuridae,1,1,0,1,1,0,4,fished,38
Acanthurus,maculiceps,Acanthuridae,1,1,0,1,1,0,4,fished,40
Acanthurus,mata,Acanthuridae,1,1,0,1,1,0,4,fished,50
Acanthurus,nigricans,Acanthuridae,1,1,1,1,1,0,5,fished,21.3
Acanthurus,nigricaudus,Acanthuridae,1,0,0,1,1,1,4,fished,40
Acanthurus,nigrofuscus,Acanthuridae,1,0,0,1,1,0,3,fished,21
Acanthurus,nigroris,Acanthuridae,0,0,1,0,0,0,1,fished,25
Acanthurus,nubilus,Acanthuridae,1,1,0,0,1,0,3,fished,26
Acanthurus,olivaceus,Acanthuridae,1,1,1,1,1,1,6,fished,35
Acanthurus,pyroferus,Acanthuridae,1,1,1,1,1,0,5,fished,29
Acanthurus,thompsoni,Acanthuridae,1,1,0,1,1,0,4,fished,27
Acanthurus,triostegus,Acanthuridae,1,1,1,1,1,1,6,fished,27
Acanthurus,xanthopterus,Acanthuridae,0,1,0,1,1,1,4,fished,70
Ctenochaetus,binotatus,Acanthuridae,1,1,1,1,1,0,5,fished,22
Ctenochaetus,cyanocheilus,Acanthuridae,0,0,0,0,1,0,1,fished,16
Ctenochaetus,striatus,Acanthuridae,1,1,1,1,1,1,6,fished,26
Ctenochaetus,strigosus,Acanthuridae,1,1,0,0,0,0,2,fished,14.6
Ctenochaetus,tominiensis,Acanthuridae,1,1,0,1,1,0,4,fished,16
Naso,annulatus,Acanthuridae,1,1,0,1,1,0,4,fished,100
Naso,brachycentron,Acanthuridae,1,1,0,1,1,0,4,fished,90
Naso,brevirostris,Acanthuridae,1,1,1,1,1,0,5,fished,60
Naso,caeruleacauda,Acanthuridae,0,0,0,0,1,0,1,fished,40
Naso,hexacanthus,Acanthuridae,1,1,0,1,1,0,4,fished,75
Naso,lituratus,Acanthuridae,1,1,0,1,1,0,4,fished,46
Naso,lopezi,Acanthuridae,1,1,1,1,0,0,4,fished,60
Naso,minor,Acanthuridae,1,1,0,0,0,0,2,fished,30
Naso,thynnoides,Acanthuridae,1,1,0,1,0,0,3,fished,40
